date,cash_rate,scrape_date
2024-10-01,4.33,2024-10-24
2024-11-01,4.32,2024-10-24
2024-12-01,4.3,2024-10-24
2025-01-01,4.28,2024-10-24
2025-02-01,4.25,2024-10-24
2025-03-01,4.19,2024-10-24
2025-04-01,4.14,2024-10-24
2025-05-01,4.09,2024-10-24
2025-06-01,4.01,2024-10-24
2025-07-01,3.97,2024-10-24
2025-08-01,3.89,2024-10-24
2025-09-01,3.87,2024-10-24
2025-10-01,3.81,2024-10-24
2025-11-01,3.75,2024-10-24
2025-12-01,3.72,2024-10-24
2026-01-01,3.71,2024-10-24
2026-02-01,3.67,2024-10-24
2026-03-01,3.66,2024-10-24
