date,cash_rate,scrape_date
2024-09-01,4.33,2024-09-05
2024-10-01,4.32,2024-09-05
2024-11-01,4.26,2024-09-05
2024-12-01,4.17,2024-09-05
2025-01-01,4.13,2024-09-05
2025-02-01,4.06,2024-09-05
2025-03-01,3.95,2024-09-05
2025-04-01,3.77,2024-09-05
2025-05-01,3.7,2024-09-05
2025-06-01,3.58,2024-09-05
2025-07-01,3.53,2024-09-05
2025-08-01,3.45,2024-09-05
2025-09-01,3.42,2024-09-05
2025-10-01,3.39,2024-09-05
2025-11-01,3.34,2024-09-05
2025-12-01,3.31,2024-09-05
2026-01-01,3.3,2024-09-05
2026-02-01,3.26,2024-09-05
