date,cash_rate,scrape_date
2024-01-01,4.31,2024-01-16
2024-02-01,4.32,2024-01-16
2024-03-01,4.31,2024-01-16
2024-04-01,4.3,2024-01-16
2024-05-01,4.25,2024-01-16
2024-06-01,4.21,2024-01-16
2024-07-01,4.17,2024-01-16
2024-08-01,4.1,2024-01-16
2024-09-01,4.06,2024-01-16
2024-10-01,3.99,2024-01-16
2024-11-01,3.92,2024-01-16
2024-12-01,3.84,2024-01-16
2025-01-01,3.81,2024-01-16
2025-02-01,3.77,2024-01-16
2025-03-01,3.73,2024-01-16
2025-04-01,3.69,2024-01-16
2025-05-01,3.66,2024-01-16
2025-06-01,3.64,2024-01-16
