date,cash_rate,scrape_date
2024-11-01,4.34,2024-11-28
2024-12-01,4.33,2024-11-28
2025-01-01,4.33,2024-11-28
2025-02-01,4.3,2024-11-28
2025-03-01,4.24,2024-11-28
2025-04-01,4.17,2024-11-28
2025-05-01,4.11,2024-11-28
2025-06-01,4.02,2024-11-28
2025-07-01,3.97,2024-11-28
2025-08-01,3.89,2024-11-28
2025-09-01,3.86,2024-11-28
2025-10-01,3.82,2024-11-28
2025-11-01,3.77,2024-11-28
2025-12-01,3.73,2024-11-28
2026-01-01,3.72,2024-11-28
2026-02-01,3.68,2024-11-28
2026-03-01,3.67,2024-11-28
2026-04-01,3.64,2024-11-28
