date,cash_rate,scrape_date
2025-03-01,4.08,2025-03-26
2025-04-01,4.07,2025-03-26
2025-05-01,4.01,2025-03-26
2025-06-01,3.92,2025-03-26
2025-07-01,3.86,2025-03-26
2025-08-01,3.73,2025-03-26
2025-09-01,3.67,2025-03-26
2025-10-01,3.58,2025-03-26
2025-11-01,3.49,2025-03-26
2025-12-01,3.47,2025-03-26
2026-01-01,3.47,2025-03-26
2026-02-01,3.44,2025-03-26
2026-03-01,3.42,2025-03-26
2026-04-01,3.41,2025-03-26
2026-05-01,3.4,2025-03-26
2026-06-01,3.4,2025-03-26
2026-07-01,3.4,2025-03-26
2026-08-01,3.41,2025-03-26
