date,cash_rate,scrape_date
2026-01-01,3.59,2026-01-07
2026-02-01,3.68,2026-01-07
2026-03-01,3.7,2026-01-07
2026-04-01,3.72,2026-01-07
2026-05-01,3.83,2026-01-07
2026-06-01,3.86,2026-01-07
2026-07-01,3.88,2026-01-07
2026-08-01,3.94,2026-01-07
2026-09-01,3.97,2026-01-07
2026-10-01,3.99,2026-01-07
2026-11-01,4.02,2026-01-07
2026-12-01,4.03,2026-01-07
2027-01-01,4.04,2026-01-07
2027-02-01,4.05,2026-01-07
2027-03-01,4.06,2026-01-07
2027-04-01,4.06,2026-01-07
2027-05-01,4.08,2026-01-07
2027-06-01,4.08,2026-01-07
