date,cash_rate,scrape_date
2026-04-01,4.09,2026-04-02
2026-05-01,4.23,2026-04-02
2026-06-01,4.3,2026-04-02
2026-07-01,4.34,2026-04-02
2026-08-01,4.45,2026-04-02
2026-09-01,4.53,2026-04-02
2026-10-01,4.64,2026-04-02
2026-11-01,4.72,2026-04-02
2026-12-01,4.74,2026-04-02
2027-01-01,4.75,2026-04-02
2027-02-01,4.75,2026-04-02
2027-03-01,4.75,2026-04-02
2027-04-01,4.75,2026-04-02
2027-05-01,4.74,2026-04-02
2027-06-01,4.73,2026-04-02
2027-07-01,4.71,2026-04-02
2027-08-01,4.69,2026-04-02
2027-09-01,4.68,2026-04-02
