date,cash_rate,scrape_date
2025-12-01,3.59,2025-12-03
2026-01-01,3.59,2025-12-03
2026-02-01,3.59,2025-12-03
2026-03-01,3.59,2025-12-03
2026-04-01,3.6,2025-12-03
2026-05-01,3.63,2025-12-03
2026-06-01,3.66,2025-12-03
2026-07-01,3.67,2025-12-03
2026-08-01,3.71,2025-12-03
2026-09-01,3.73,2025-12-03
2026-10-01,3.76,2025-12-03
2026-11-01,3.79,2025-12-03
2026-12-01,3.81,2025-12-03
2027-01-01,3.83,2025-12-03
2027-02-01,3.84,2025-12-03
2027-03-01,3.86,2025-12-03
2027-04-01,3.88,2025-12-03
2027-05-01,3.89,2025-12-03
