date,cash_rate,scrape_date
2025-09-01,3.59,2025-09-15
2025-10-01,3.57,2025-09-15
2025-11-01,3.41,2025-09-15
2025-12-01,3.34,2025-09-15
2026-01-01,3.32,2025-09-15
2026-02-01,3.21,2025-09-15
2026-03-01,3.2,2025-09-15
2026-04-01,3.19,2025-09-15
2026-05-01,3.15,2025-09-15
2026-06-01,3.14,2025-09-15
2026-07-01,3.14,2025-09-15
2026-08-01,3.14,2025-09-15
2026-09-01,3.14,2025-09-15
2026-10-01,3.14,2025-09-15
2026-11-01,3.14,2025-09-15
2026-12-01,3.16,2025-09-15
2027-01-01,3.16,2025-09-15
2027-02-01,3.17,2025-09-15
