date,cash_rate,scrape_date
2022-07-01,1.225,2022-07-20
2022-08-01,1.85,2022-07-20
2022-09-01,2.295,2022-07-20
2022-10-01,2.745,2022-07-20
2022-11-01,3.18,2022-07-20
2022-12-01,3.38,2022-07-20
2023-01-01,3.435,2022-07-20
2023-02-01,3.605,2022-07-20
2023-03-01,3.665,2022-07-20
2023-04-01,3.665,2022-07-20
2023-05-01,3.665,2022-07-20
2023-06-01,3.665,2022-07-20
2023-07-01,3.625,2022-07-20
2023-08-01,3.6,2022-07-20
2023-09-01,3.58,2022-07-20
2023-10-01,3.55,2022-07-20
2023-11-01,3.525,2022-07-20
2023-12-01,3.49,2022-07-20
