date,cash_rate,scrape_date
2026-01-01,3.6,2026-01-22
2026-02-01,3.73,2026-01-22
2026-03-01,3.77,2026-01-22
2026-04-01,3.78,2026-01-22
2026-05-01,3.89,2026-01-22
2026-06-01,3.92,2026-01-22
2026-07-01,3.94,2026-01-22
2026-08-01,3.98,2026-01-22
2026-09-01,4.02,2026-01-22
2026-10-01,4.03,2026-01-22
2026-11-01,4.07,2026-01-22
2026-12-01,4.08,2026-01-22
2027-01-01,4.08,2026-01-22
2027-02-01,4.08,2026-01-22
2027-03-01,4.09,2026-01-22
2027-04-01,4.09,2026-01-22
2027-05-01,4.11,2026-01-22
2027-06-01,4.11,2026-01-22
