date,cash_rate,scrape_date
2025-02-01,4.25,2025-02-03
2025-03-01,4.1,2025-02-03
2025-04-01,3.97,2025-02-03
2025-05-01,3.89,2025-02-03
2025-06-01,3.75,2025-02-03
2025-07-01,3.72,2025-02-03
2025-08-01,3.61,2025-02-03
2025-09-01,3.55,2025-02-03
2025-10-01,3.5,2025-02-03
2025-11-01,3.47,2025-02-03
2025-12-01,3.44,2025-02-03
2026-01-01,3.44,2025-02-03
2026-02-01,3.42,2025-02-03
2026-03-01,3.42,2025-02-03
2026-04-01,3.42,2025-02-03
2026-05-01,3.42,2025-02-03
2026-06-01,3.42,2025-02-03
2026-07-01,3.43,2025-02-03
