date,cash_rate,scrape_date
2024-04-01,4.31,2024-04-02
2024-05-01,4.31,2024-04-02
2024-06-01,4.29,2024-04-02
2024-07-01,4.27,2024-04-02
2024-08-01,4.2,2024-04-02
2024-09-01,4.17,2024-04-02
2024-10-01,4.11,2024-04-02
2024-11-01,4.03,2024-04-02
2024-12-01,3.96,2024-04-02
2025-01-01,3.94,2024-04-02
2025-02-01,3.86,2024-04-02
2025-03-01,3.83,2024-04-02
2025-04-01,3.78,2024-04-02
2025-05-01,3.73,2024-04-02
2025-06-01,3.7,2024-04-02
2025-07-01,3.67,2024-04-02
2025-08-01,3.62,2024-04-02
2025-09-01,3.6,2024-04-02
