date,cash_rate,scrape_date
2023-08-01,4.065,2023-08-14
2023-09-01,4.09,2023-08-14
2023-10-01,4.125,2023-08-14
2023-11-01,4.185,2023-08-14
2023-12-01,4.22,2023-08-14
2024-01-01,4.22499999999999,2023-08-14
2024-02-01,4.24,2023-08-14
2024-03-01,4.25,2023-08-14
2024-04-01,4.25,2023-08-14
2024-05-01,4.25,2023-08-14
2024-06-01,4.24,2023-08-14
2024-07-01,4.22499999999999,2023-08-14
2024-08-01,4.19,2023-08-14
2024-09-01,4.17,2023-08-14
2024-10-01,4.13500000000001,2023-08-14
2024-11-01,4.08499999999999,2023-08-14
2024-12-01,4.03,2023-08-14
2025-01-01,4.01000000000001,2023-08-14
