date,cash_rate,scrape_date
2024-06-01,4.32,2024-06-25
2024-07-01,4.32,2024-06-25
2024-08-01,4.35,2024-06-25
2024-09-01,4.36,2024-06-25
2024-10-01,4.36,2024-06-25
2024-11-01,4.33,2024-06-25
2024-12-01,4.3,2024-06-25
2025-01-01,4.28,2024-06-25
2025-02-01,4.25,2024-06-25
2025-03-01,4.21,2024-06-25
2025-04-01,4.14,2024-06-25
2025-05-01,4.12,2024-06-25
2025-06-01,4.08,2024-06-25
2025-07-01,4.04,2024-06-25
2025-08-01,4.0,2024-06-25
2025-09-01,3.97,2024-06-25
2025-10-01,3.94,2024-06-25
2025-11-01,3.9,2024-06-25
