date,cash_rate,scrape_date
2022-10-01,2.525,2022-10-31
2022-11-01,2.845,2022-10-31
2022-12-01,3.058,2022-10-31
2023-01-01,3.095,2022-10-31
2023-02-01,3.265,2022-10-31
2023-03-01,3.465,2022-10-31
2023-04-01,3.665,2022-10-31
2023-05-01,3.82,2022-10-31
2023-06-01,3.895,2022-10-31
2023-07-01,3.94,2022-10-31
2023-08-01,3.945,2022-10-31
2023-09-01,3.945,2022-10-31
2023-10-01,3.945,2022-10-31
2023-11-01,3.935,2022-10-31
2023-12-01,3.915,2022-10-31
2024-01-01,3.91,2022-10-31
2024-02-01,3.905,2022-10-31
2024-03-01,3.87,2022-10-31
