date,cash_rate,scrape_date
2026-09-01,4.36,2026-09-24
2026-10-01,4.58,2026-09-24
2026-11-01,4.69,2026-09-24
2026-12-01,4.75,2026-09-24
2027-01-01,4.75,2026-09-24
2027-02-01,4.83,2026-09-24
2027-03-01,4.88,2026-09-24
2027-04-01,4.92,2026-09-24
2027-05-01,4.99,2026-09-24
2027-06-01,5.0,2026-09-24
2027-07-01,5.02,2026-09-24
2027-08-01,5.02,2026-09-24
2027-09-01,5.02,2026-09-24
2027-10-01,5.03,2026-09-24
2027-11-01,5.02,2026-09-24
2027-12-01,5.0,2026-09-24
2028-01-01,5.0,2026-09-24
2028-02-01,4.97,2026-09-24
