date,cash_rate,scrape_date
2025-02-01,4.26,2025-02-17
2025-03-01,4.12,2025-02-17
2025-04-01,4.04,2025-02-17
2025-05-01,3.97,2025-02-17
2025-06-01,3.87,2025-02-17
2025-07-01,3.83,2025-02-17
2025-08-01,3.73,2025-02-17
2025-09-01,3.69,2025-02-17
2025-10-01,3.66,2025-02-17
2025-11-01,3.63,2025-02-17
2025-12-01,3.6,2025-02-17
2026-01-01,3.59,2025-02-17
2026-02-01,3.58,2025-02-17
2026-03-01,3.58,2025-02-17
2026-04-01,3.58,2025-02-17
2026-05-01,3.59,2025-02-17
2026-06-01,3.59,2025-02-17
2026-07-01,3.6,2025-02-17
