date,cash_rate,scrape_date
2025-04-01,4.08,2025-04-23
2025-05-01,3.98,2025-04-23
2025-06-01,3.79,2025-04-23
2025-07-01,3.63,2025-04-23
2025-08-01,3.42,2025-04-23
2025-09-01,3.32,2025-04-23
2025-10-01,3.11,2025-04-17
2025-11-01,3.0,2025-04-23
2025-12-01,2.97,2025-04-23
2026-01-01,2.95,2025-04-23
2026-02-01,2.92,2025-04-23
2026-03-01,2.91,2025-04-23
2026-04-01,2.89,2025-04-23
2026-05-01,2.88,2025-04-23
2026-06-01,2.88,2025-04-23
2026-07-01,2.88,2025-04-23
2026-08-01,2.89,2025-04-23
2026-09-01,2.89,2025-04-23
