date,cash_rate,scrape_date
2026-04-01,4.09,2026-04-09
2026-05-01,4.23,2026-04-09
2026-06-01,4.28,2026-04-09
2026-07-01,4.33,2026-04-09
2026-08-01,4.42,2026-04-09
2026-09-01,4.48,2026-04-09
2026-10-01,4.56,2026-04-09
2026-11-01,4.64,2026-04-09
2026-12-01,4.64,2026-04-09
2027-01-01,4.64,2026-04-09
2027-02-01,4.64,2026-04-09
2027-03-01,4.64,2026-04-09
2027-04-01,4.64,2026-04-09
2027-05-01,4.61,2026-04-09
2027-06-01,4.6,2026-04-09
2027-07-01,4.58,2026-04-09
2027-08-01,4.56,2026-04-09
2027-09-01,4.55,2026-04-09
