date,cash_rate,scrape_date
2024-03-01,4.31,2024-03-14
2024-04-01,4.31,2024-03-14
2024-05-01,4.28,2024-03-14
2024-06-01,4.25,2024-03-14
2024-07-01,4.2,2024-03-14
2024-08-01,4.14,2024-03-14
2024-09-01,4.1,2024-03-14
2024-10-01,4.05,2024-03-14
2024-11-01,3.97,2024-03-14
2024-12-01,3.91,2024-03-14
2025-01-01,3.89,2024-03-14
2025-02-01,3.83,2024-03-14
2025-03-01,3.79,2024-03-14
2025-04-01,3.76,2024-03-14
2025-05-01,3.72,2024-03-14
2025-06-01,3.69,2024-03-14
2025-07-01,3.67,2024-03-14
2025-08-01,3.64,2024-03-14
