date,cash_rate,scrape_date
2024-10-01,4.33,2024-10-17
2024-11-01,4.32,2024-10-17
2024-12-01,4.28,2024-10-17
2025-01-01,4.27,2024-10-17
2025-02-01,4.22,2024-10-17
2025-03-01,4.15,2024-10-17
2025-04-01,4.06,2024-10-17
2025-05-01,4.0,2024-10-17
2025-06-01,3.92,2024-10-17
2025-07-01,3.86,2024-10-17
2025-08-01,3.77,2024-10-17
2025-09-01,3.74,2024-10-17
2025-10-01,3.67,2024-10-17
2025-11-01,3.62,2024-10-17
2025-12-01,3.58,2024-10-17
2026-01-01,3.56,2024-10-17
2026-02-01,3.52,2024-10-17
2026-03-01,3.5,2024-10-17
