date,cash_rate,scrape_date
2024-09-01,4.33,2024-09-04
2024-10-01,4.32,2024-09-04
2024-11-01,4.27,2024-09-04
2024-12-01,4.17,2024-09-04
2025-01-01,4.11,2024-09-04
2025-02-01,4.05,2024-09-04
2025-03-01,3.94,2024-09-04
2025-04-01,3.78,2024-09-04
2025-05-01,3.72,2024-09-04
2025-06-01,3.59,2024-09-04
2025-07-01,3.55,2024-09-04
2025-08-01,3.48,2024-09-04
2025-09-01,3.44,2024-09-04
2025-10-01,3.42,2024-09-04
2025-11-01,3.37,2024-09-04
2025-12-01,3.33,2024-09-04
2026-01-01,3.32,2024-09-04
2026-02-01,3.28,2024-09-04
