date,cash_rate,scrape_date
2024-09-01,4.33,2024-09-06
2024-10-01,4.31,2024-09-06
2024-11-01,4.27,2024-09-06
2024-12-01,4.16,2024-09-06
2025-01-01,4.12,2024-09-06
2025-02-01,4.05,2024-09-06
2025-03-01,3.92,2024-09-06
2025-04-01,3.75,2024-09-06
2025-05-01,3.66,2024-09-06
2025-06-01,3.53,2024-09-06
2025-07-01,3.48,2024-09-06
2025-08-01,3.41,2024-09-06
2025-09-01,3.38,2024-09-06
2025-10-01,3.33,2024-09-06
2025-11-01,3.29,2024-09-06
2025-12-01,3.25,2024-09-06
2026-01-01,3.25,2024-09-06
2026-02-01,3.21,2024-09-06
