date,cash_rate,scrape_date
2026-01-01,3.6,2026-01-26
2026-02-01,3.73,2026-01-26
2026-03-01,3.77,2026-01-26
2026-04-01,3.78,2026-01-26
2026-05-01,3.89,2026-01-26
2026-06-01,3.93,2026-01-26
2026-07-01,3.95,2026-01-26
2026-08-01,4.0,2026-01-26
2026-09-01,4.03,2026-01-26
2026-10-01,4.06,2026-01-26
2026-11-01,4.09,2026-01-26
2026-12-01,4.11,2026-01-26
2027-01-01,4.11,2026-01-26
2027-02-01,4.11,2026-01-26
2027-03-01,4.12,2026-01-26
2027-04-01,4.13,2026-01-26
2027-05-01,4.14,2026-01-26
2027-06-01,4.14,2026-01-26
