date,cash_rate,scrape_date
2024-08-01,4.33,2024-08-26
2024-09-01,4.33,2024-08-26
2024-10-01,4.31,2024-08-26
2024-11-01,4.22,2024-08-26
2024-12-01,4.09,2024-08-26
2025-01-01,4.05,2024-08-26
2025-02-01,3.98,2024-08-26
2025-03-01,3.86,2024-08-26
2025-04-01,3.67,2024-08-26
2025-05-01,3.61,2024-08-26
2025-06-01,3.48,2024-08-26
2025-07-01,3.44,2024-08-26
2025-08-01,3.39,2024-08-26
2025-09-01,3.35,2024-08-26
2025-10-01,3.3,2024-08-26
2025-11-01,3.25,2024-08-26
2025-12-01,3.22,2024-08-26
2026-01-01,3.2,2024-08-26
