date,cash_rate,scrape_date
2025-01-01,4.33,2025-01-21
2025-02-01,4.27,2025-01-21
2025-03-01,4.16,2025-01-21
2025-04-01,4.06,2025-01-21
2025-05-01,4.0,2025-01-21
2025-06-01,3.89,2025-01-21
2025-07-01,3.84,2025-01-21
2025-08-01,3.76,2025-01-21
2025-09-01,3.72,2025-01-21
2025-10-01,3.66,2025-01-21
2025-11-01,3.64,2025-01-21
2025-12-01,3.61,2025-01-21
2026-01-01,3.6,2025-01-21
2026-02-01,3.58,2025-01-21
2026-03-01,3.58,2025-01-21
2026-04-01,3.58,2025-01-21
2026-05-01,3.58,2025-01-21
2026-06-01,3.58,2025-01-21
