date,cash_rate,scrape_date
2024-02-01,4.31,2024-02-07
2024-03-01,4.3,2024-02-07
2024-04-01,4.29,2024-02-07
2024-05-01,4.25,2024-02-07
2024-06-01,4.22,2024-02-07
2024-07-01,4.19,2024-02-07
2024-08-01,4.11,2024-02-07
2024-09-01,4.06,2024-02-07
2024-10-01,3.99,2024-02-07
2024-11-01,3.9,2024-02-07
2024-12-01,3.83,2024-02-07
2025-01-01,3.81,2024-02-07
2025-02-01,3.75,2024-02-07
2025-03-01,3.7,2024-02-07
2025-04-01,3.67,2024-02-07
2025-05-01,3.62,2024-02-07
2025-06-01,3.59,2024-02-07
2025-07-01,3.56,2024-02-07
