date,cash_rate,scrape_date
2025-10-01,3.59,2025-10-02
2025-11-01,3.5,2025-10-02
2025-12-01,3.45,2025-10-02
2026-01-01,3.45,2025-10-02
2026-02-01,3.37,2025-10-02
2026-03-01,3.36,2025-10-02
2026-04-01,3.33,2025-10-02
2026-05-01,3.28,2025-10-02
2026-06-01,3.28,2025-10-02
2026-07-01,3.27,2025-10-02
2026-08-01,3.27,2025-10-02
2026-09-01,3.27,2025-10-02
2026-10-01,3.27,2025-10-02
2026-11-01,3.27,2025-10-02
2026-12-01,3.28,2025-10-02
2027-01-01,3.28,2025-10-02
2027-02-01,3.3,2025-10-02
2027-03-01,3.31,2025-10-02
