date,cash_rate,scrape_date
2023-09-01,4.06,2023-09-05
2023-10-01,4.08,2023-09-05
2023-11-01,4.13,2023-09-05
2023-12-01,4.14,2023-09-05
2024-01-01,4.15,2023-09-05
2024-02-01,4.14,2023-09-05
2024-03-01,4.14,2023-09-05
2024-04-01,4.14,2023-09-05
2024-05-01,4.12,2023-09-05
2024-06-01,4.12,2023-09-05
2024-07-01,4.1,2023-09-05
2024-08-01,4.06,2023-09-05
2024-09-01,4.04,2023-09-05
2024-10-01,4,2023-09-05
2024-11-01,3.95,2023-09-05
2024-12-01,3.91,2023-09-05
2025-01-01,3.89,2023-09-05
2025-02-01,3.84,2023-09-05
