date,cash_rate,scrape_date
2026-04-01,4.09,2026-04-01
2026-05-01,4.22,2026-04-01
2026-06-01,4.27,2026-04-01
2026-07-01,4.31,2026-04-01
2026-08-01,4.39,2026-04-01
2026-09-01,4.44,2026-04-01
2026-10-01,4.54,2026-04-01
2026-11-01,4.61,2026-04-01
2026-12-01,4.62,2026-04-01
2027-01-01,4.62,2026-04-01
2027-02-01,4.61,2026-04-01
2027-03-01,4.61,2026-04-01
2027-04-01,4.61,2026-04-01
2027-05-01,4.59,2026-04-01
2027-06-01,4.58,2026-04-01
2027-07-01,4.56,2026-04-01
2027-08-01,4.54,2026-04-01
2027-09-01,4.53,2026-04-01
