date,cash_rate,scrape_date
2024-12-01,4.33,2024-12-05
2025-01-01,4.31,2024-12-05
2025-02-01,4.28,2024-12-05
2025-03-01,4.19,2024-12-05
2025-04-01,4.09,2024-12-05
2025-05-01,4.03,2024-12-05
2025-06-01,3.92,2024-12-05
2025-07-01,3.86,2024-12-05
2025-08-01,3.78,2024-12-05
2025-09-01,3.74,2024-12-05
2025-10-01,3.69,2024-12-05
2025-11-01,3.66,2024-12-05
2025-12-01,3.61,2024-12-05
2026-01-01,3.6,2024-12-05
2026-02-01,3.57,2024-12-05
2026-03-01,3.55,2024-12-05
2026-04-01,3.53,2024-12-05
2026-05-01,3.52,2024-12-05
