date,cash_rate,scrape_date
2025-02-01,4.25,2025-02-18
2025-03-01,4.08,2025-02-18
2025-04-01,4.04,2025-02-18
2025-05-01,3.98,2025-02-18
2025-06-01,3.89,2025-02-18
2025-07-01,3.88,2025-02-18
2025-08-01,3.78,2025-02-18
2025-09-01,3.73,2025-02-18
2025-10-01,3.72,2025-02-18
2025-11-01,3.69,2025-02-18
2025-12-01,3.66,2025-02-18
2026-01-01,3.65,2025-02-18
2026-02-01,3.64,2025-02-18
2026-03-01,3.64,2025-02-18
2026-04-01,3.64,2025-02-18
2026-05-01,3.64,2025-02-18
2026-06-01,3.65,2025-02-18
2026-07-01,3.66,2025-02-18
