date,cash_rate,scrape_date
2024-08-01,4.3,2024-08-05
2024-09-01,4.25,2024-08-05
2024-10-01,4.22,2024-08-05
2024-11-01,4.06,2024-08-05
2024-12-01,3.95,2024-08-05
2025-01-01,3.91,2024-08-05
2025-02-01,3.86,2024-08-05
2025-03-01,3.72,2024-08-05
2025-04-01,3.57,2024-08-05
2025-05-01,3.52,2024-08-05
2025-06-01,3.44,2024-08-05
2025-07-01,3.4,2024-08-05
2025-08-01,3.34,2024-08-05
2025-09-01,3.31,2024-08-05
2025-10-01,3.25,2024-08-05
2025-11-01,3.2,2024-08-05
2025-12-01,3.17,2024-08-05
2026-01-01,3.15,2024-08-05
