date,cash_rate,scrape_date
2026-03-01,3.92,2026-03-12
2026-04-01,4.02,2026-03-12
2026-05-01,4.17,2026-03-12
2026-06-01,4.21,2026-03-12
2026-07-01,4.23,2026-03-12
2026-08-01,4.33,2026-03-12
2026-09-01,4.39,2026-03-12
2026-10-01,4.45,2026-03-12
2026-11-01,4.52,2026-03-12
2026-12-01,4.52,2026-03-12
2027-01-01,4.52,2026-03-12
2027-02-01,4.52,2026-03-12
2027-03-01,4.51,2026-03-12
2027-04-01,4.5,2026-03-12
2027-05-01,4.48,2026-03-12
2027-06-01,4.47,2026-03-12
2027-07-01,4.45,2026-03-12
2027-08-01,4.44,2026-03-12
