date,cash_rate,scrape_date
2023-12-01,4.31,2023-12-27
2024-01-01,4.31,2023-12-27
2024-02-01,4.33,2023-12-27
2024-03-01,4.31,2023-12-27
2024-04-01,4.26,2023-12-27
2024-05-01,4.17,2023-12-27
2024-06-01,4.11,2023-12-27
2024-07-01,4.03,2023-12-27
2024-08-01,3.95,2023-12-27
2024-09-01,3.92,2023-12-27
2024-10-01,3.84,2023-12-27
2024-11-01,3.78,2023-12-27
2024-12-01,3.72,2023-12-27
2025-01-01,3.7,2023-12-27
2025-02-01,3.65,2023-12-27
2025-03-01,3.61,2023-12-27
2025-04-01,3.58,2023-12-27
2025-05-01,3.55,2023-12-27
