date,cash_rate,scrape_date
2025-06-01,3.83,2025-06-13
2025-07-01,3.67,2025-06-13
2025-08-01,3.49,2025-06-13
2025-09-01,3.4,2025-06-13
2025-10-01,3.29,2025-06-13
2025-11-01,3.12,2025-06-13
2025-12-01,3.05,2025-06-13
2026-01-01,3.03,2025-06-13
2026-02-01,2.94,2025-06-13
2026-03-01,2.92,2025-06-13
2026-04-01,2.9,2025-06-13
2026-05-01,2.89,2025-06-13
2026-06-01,2.89,2025-06-13
2026-07-01,2.89,2025-06-13
2026-08-01,2.89,2025-06-13
2026-09-01,2.9,2025-06-13
2026-10-01,2.92,2025-06-13
2026-11-01,2.94,2025-06-13
