date,cash_rate,scrape_date
2024-10-01,4.33,2024-10-31
2024-11-01,4.33,2024-10-31
2024-12-01,4.31,2024-10-31
2025-01-01,4.31,2024-10-31
2025-02-01,4.27,2024-10-31
2025-03-01,4.22,2024-10-31
2025-04-01,4.18,2024-10-31
2025-05-01,4.14,2024-10-31
2025-06-01,4.08,2024-10-31
2025-07-01,4.03,2024-10-31
2025-08-01,3.97,2024-10-31
2025-09-01,3.94,2024-10-31
2025-10-01,3.91,2024-10-31
2025-11-01,3.86,2024-10-31
2025-12-01,3.82,2024-10-31
2026-01-01,3.81,2024-10-31
2026-02-01,3.77,2024-10-31
2026-03-01,3.75,2024-10-31
