date,cash_rate,scrape_date
2023-12-01,4.31,2023-12-21
2024-01-01,4.31,2023-12-21
2024-02-01,4.33,2023-12-21
2024-03-01,4.31,2023-12-21
2024-04-01,4.27,2023-12-21
2024-05-01,4.18,2023-12-21
2024-06-01,4.12,2023-12-21
2024-07-01,4.06,2023-12-21
2024-08-01,3.98,2023-12-21
2024-09-01,3.95,2023-12-21
2024-10-01,3.88,2023-12-21
2024-11-01,3.82,2023-12-21
2024-12-01,3.76,2023-12-21
2025-01-01,3.73,2023-12-21
2025-02-01,3.69,2023-12-21
2025-03-01,3.66,2023-12-21
2025-04-01,3.62,2023-12-21
2025-05-01,3.58,2023-12-21
