date,cash_rate,scrape_date
2026-06-01,4.35,2026-06-08
2026-07-01,4.36,2026-06-08
2026-08-01,4.43,2026-06-08
2026-09-01,4.47,2026-06-08
2026-10-01,4.51,2026-06-08
2026-11-01,4.56,2026-06-08
2026-12-01,4.58,2026-06-08
2027-01-01,4.58,2026-06-08
2027-02-01,4.58,2026-06-08
2027-03-01,4.58,2026-06-08
2027-04-01,4.56,2026-06-08
2027-05-01,4.55,2026-06-08
2027-06-01,4.54,2026-06-08
2027-07-01,4.52,2026-06-08
2027-08-01,4.5,2026-06-08
2027-09-01,4.48,2026-06-08
2027-10-01,4.46,2026-06-08
2027-11-01,4.44,2026-06-08
