date,cash_rate,scrape_date
2024-11-01,4.33,2024-11-14
2024-12-01,4.33,2024-11-14
2025-01-01,4.31,2024-11-14
2025-02-01,4.3,2024-11-14
2025-03-01,4.26,2024-11-14
2025-04-01,4.24,2024-11-14
2025-05-01,4.2,2024-11-14
2025-06-01,4.15,2024-11-14
2025-07-01,4.12,2024-11-14
2025-08-01,4.07,2024-11-14
2025-09-01,4.04,2024-11-14
2025-10-01,4.02,2024-11-14
2025-11-01,3.97,2024-11-14
2025-12-01,3.94,2024-11-14
2026-01-01,3.93,2024-11-14
2026-02-01,3.9,2024-11-14
2026-03-01,3.89,2024-11-14
2026-04-01,3.87,2024-11-14
