date,cash_rate,scrape_date
2025-03-01,4.08,2025-03-11
2025-04-01,4.06,2025-03-11
2025-05-01,3.98,2025-03-11
2025-06-01,3.88,2025-03-11
2025-07-01,3.8,2025-03-11
2025-08-01,3.66,2025-03-11
2025-09-01,3.58,2025-03-11
2025-10-01,3.53,2025-03-11
2025-11-01,3.44,2025-03-11
2025-12-01,3.42,2025-03-11
2026-01-01,3.41,2025-03-11
2026-02-01,3.39,2025-03-11
2026-03-01,3.38,2025-03-11
2026-04-01,3.36,2025-03-11
2026-05-01,3.36,2025-03-11
2026-06-01,3.36,2025-03-11
2026-07-01,3.36,2025-03-11
2026-08-01,3.37,2025-03-11
