date,cash_rate,scrape_date
2022-07-01,1.225,2022-07-21
2022-08-01,1.845,2022-07-21
2022-09-01,2.295,2022-07-21
2022-10-01,2.775,2022-07-21
2022-11-01,3.23,2022-07-21
2022-12-01,3.445,2022-07-21
2023-01-01,3.5,2022-07-21
2023-02-01,3.695,2022-07-21
2023-03-01,3.755,2022-07-21
2023-04-01,3.755,2022-07-21
2023-05-01,3.755,2022-07-21
2023-06-01,3.735,2022-07-21
2023-07-01,3.715,2022-07-21
2023-08-01,3.69,2022-07-21
2023-09-01,3.67,2022-07-21
2023-10-01,3.64,2022-07-21
2023-11-01,3.615,2022-07-21
2023-12-01,3.58,2022-07-21
