date,cash_rate,scrape_date
2026-03-01,3.93,2026-03-13
2026-04-01,4.02,2026-03-13
2026-05-01,4.17,2026-03-13
2026-06-01,4.22,2026-03-13
2026-07-01,4.25,2026-03-13
2026-08-01,4.34,2026-03-13
2026-09-01,4.4,2026-03-13
2026-10-01,4.46,2026-03-13
2026-11-01,4.53,2026-03-13
2026-12-01,4.54,2026-03-13
2027-01-01,4.54,2026-03-13
2027-02-01,4.54,2026-03-13
2027-03-01,4.53,2026-03-13
2027-04-01,4.53,2026-03-13
2027-05-01,4.5,2026-03-13
2027-06-01,4.49,2026-03-13
2027-07-01,4.47,2026-03-13
2027-08-01,4.46,2026-03-13
