date,cash_rate,scrape_date
2024-05-01,4.31,2024-05-21
2024-06-01,4.31,2024-05-21
2024-07-01,4.31,2024-05-21
2024-08-01,4.33,2024-05-21
2024-09-01,4.32,2024-05-21
2024-10-01,4.31,2024-05-21
2024-11-01,4.28,2024-05-21
2024-12-01,4.23,2024-05-21
2025-01-01,4.22,2024-05-21
2025-02-01,4.19,2024-05-21
2025-03-01,4.15,2024-05-21
2025-04-01,4.08,2024-05-21
2025-05-01,4.06,2024-05-21
2025-06-01,4.02,2024-05-21
2025-07-01,3.98,2024-05-21
2025-08-01,3.94,2024-05-21
2025-09-01,3.92,2024-05-21
2025-10-01,3.88,2024-05-21
