date,cash_rate,scrape_date
2025-07-01,3.83,2025-07-11
2025-08-01,3.69,2025-07-11
2025-09-01,3.61,2025-07-11
2025-10-01,3.52,2025-07-11
2025-11-01,3.35,2025-07-11
2025-12-01,3.27,2025-07-11
2026-01-01,3.23,2025-07-11
2026-02-01,3.11,2025-07-11
2026-03-01,3.09,2025-07-11
2026-04-01,3.08,2025-07-11
2026-05-01,3.06,2025-07-11
2026-06-01,3.05,2025-07-11
2026-07-01,3.05,2025-07-11
2026-08-01,3.05,2025-07-11
2026-09-01,3.05,2025-07-11
2026-10-01,3.06,2025-07-11
2026-11-01,3.07,2025-07-11
2026-12-01,3.08,2025-07-11
