date,cash_rate,scrape_date
2023-12-01,4.31,2023-12-20
2024-01-01,4.31,2023-12-20
2024-02-01,4.33,2023-12-20
2024-03-01,4.31,2023-12-20
2024-04-01,4.28,2023-12-20
2024-05-01,4.19,2023-12-20
2024-06-01,4.14,2023-12-20
2024-07-01,4.09,2023-12-20
2024-08-01,4.01,2023-12-20
2024-09-01,3.97,2023-12-20
2024-10-01,3.91,2023-12-20
2024-11-01,3.84,2023-12-20
2024-12-01,3.78,2023-12-20
2025-01-01,3.75,2023-12-20
2025-02-01,3.72,2023-12-20
2025-03-01,3.69,2023-12-20
2025-04-01,3.66,2023-12-20
2025-05-01,3.64,2023-12-20
