date,cash_rate,scrape_date
2024-01-01,4.31,2024-01-03
2024-02-01,4.33,2024-01-03
2024-03-01,4.33,2024-01-03
2024-04-01,4.3,2024-01-03
2024-05-01,4.22,2024-01-03
2024-06-01,4.16,2024-01-03
2024-07-01,4.09,2024-01-03
2024-08-01,4.02,2024-01-03
2024-09-01,3.97,2024-01-03
2024-10-01,3.91,2024-01-03
2024-11-01,3.84,2024-01-03
2024-12-01,3.78,2024-01-03
2025-01-01,3.76,2024-01-03
2025-02-01,3.71,2024-01-03
2025-03-01,3.67,2024-01-03
2025-04-01,3.64,2024-01-03
2025-05-01,3.59,2024-01-03
2025-06-01,3.58,2024-01-03
