date,cash_rate,scrape_date
2024-10-01,4.33,2024-10-18
2024-11-01,4.32,2024-10-18
2024-12-01,4.29,2024-10-18
2025-01-01,4.28,2024-10-18
2025-02-01,4.24,2024-10-18
2025-03-01,4.17,2024-10-18
2025-04-01,4.1,2024-10-18
2025-05-01,4.05,2024-10-18
2025-06-01,3.95,2024-10-18
2025-07-01,3.9,2024-10-18
2025-08-01,3.81,2024-10-18
2025-09-01,3.78,2024-10-18
2025-10-01,3.72,2024-10-18
2025-11-01,3.67,2024-10-18
2025-12-01,3.62,2024-10-18
2026-01-01,3.61,2024-10-18
2026-02-01,3.56,2024-10-18
2026-03-01,3.55,2024-10-18
