date,cash_rate,scrape_date
2026-03-01,3.88,2026-03-05
2026-04-01,3.91,2026-03-05
2026-05-01,4.06,2026-03-05
2026-06-01,4.12,2026-03-05
2026-07-01,4.14,2026-03-05
2026-08-01,4.22,2026-03-05
2026-09-01,4.27,2026-03-05
2026-10-01,4.29,2026-03-05
2026-11-01,4.33,2026-03-05
2026-12-01,4.33,2026-03-05
2027-01-01,4.33,2026-03-05
2027-02-01,4.33,2026-03-05
2027-03-01,4.31,2026-03-05
2027-04-01,4.31,2026-03-05
2027-05-01,4.28,2026-03-05
2027-06-01,4.28,2026-03-05
2027-07-01,4.27,2026-03-05
2027-08-01,4.26,2026-03-05
