date,cash_rate,scrape_date
2024-12-01,4.33,2024-12-09
2025-01-01,4.33,2024-12-09
2025-02-01,4.28,2024-12-09
2025-03-01,4.19,2024-12-09
2025-04-01,4.08,2024-12-09
2025-05-01,4.02,2024-12-09
2025-06-01,3.91,2024-12-09
2025-07-01,3.84,2024-12-09
2025-08-01,3.75,2024-12-09
2025-09-01,3.71,2024-12-09
2025-10-01,3.66,2024-12-09
2025-11-01,3.62,2024-12-09
2025-12-01,3.58,2024-12-09
2026-01-01,3.56,2024-12-09
2026-02-01,3.53,2024-12-09
2026-03-01,3.51,2024-12-09
2026-04-01,3.49,2024-12-09
2026-05-01,3.47,2024-12-09
